Rank,Release Group,Worldwide,Domestic,%,Foreign,%
80,Gangubai Kathiawadi,"$3,306,731","$592,000",17.9%,"$2,714,731",82.1%
81,Etharkkum Thunindhavan,"$3,266,724",-,-,"$3,266,724",100%
82,Ox-Head Village,"$3,250,402",-,-,"$3,250,402",100%
83,Desperate for Marriage,"$3,215,944",-,-,"$3,215,944",100%
84,Memory,"$3,199,806","$3,100,000",96.9%,"$99,806",3.1%
85,Le temps des secrets,"$3,032,422",-,-,"$3,032,422",100%
86,Studio 666,"$2,999,769","$2,513,963",83.8%,"$485,806",16.2%
87,The Young Lovers,"$2,955,577",-,-,"$2,955,577",100%
88,The Exorcism of God,"$2,938,768",-,-,"$2,938,768",100%
89,Hot Blooded,"$2,905,288",-,-,"$2,905,288",100%
90,Chia Khoa Tram Ty,"$2,851,565",-,-,"$2,851,565",100%
91,La brigade,"$2,833,657",-,-,"$2,833,657",100%
92,What to Do with the Dead Kaiju?,"$2,827,966",-,-,"$2,827,966",100%
93,The Glance of Music,"$2,731,439",-,-,"$2,731,439",100%
94,Crayon Shin-chan: Mononoke Ninja Chinpuden,"$2,690,779",-,-,"$2,690,779",100%
95,Fireheart,"$2,681,817",-,-,"$2,681,817",100%
96,¡Qué Despadre!,"$2,681,505",-,-,"$2,681,505",100%
97,The Wannabes,"$2,627,605",-,-,"$2,627,605",100%
98,Vysehrad: Fylm,"$2,618,360",-,-,"$2,618,360",100%
99,Heart of Oak,"$2,605,668",-,-,"$2,605,668",100%
100,Vietnamese Horror Story,"$2,569,119",-,-,"$2,569,119",100%
101,Promises,"$2,533,430",-,-,"$2,533,430",100%
102,Corro da te,"$2,510,224",-,-,"$2,510,224",100%
103,Tonbi,"$2,442,782",-,-,"$2,442,782",100%
104,The Grandmother,"$2,417,583",-,-,"$2,417,583",100%
105,Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard?!: The Movie,"$2,318,579",-,-,"$2,318,579",100%
106,Ensemble Stars!! Road to Show!!,"$2,287,844",-,-,"$2,287,844",100%
107,The Phantom of the Open,"$2,250,777",-,-,"$2,250,777",100%
108,Tajemství staré bambitky 2,"$2,211,025",-,-,"$2,211,025",100%
109,The Beatles: Get Back - The Rooftop Concert,"$2,209,986","$976,712",44.2%,"$1,233,274",55.8%
110,The Nan Movie,"$2,204,671",-,-,"$2,204,671",100%
111,Around the World in 80 Days,"$2,164,782",-,-,"$2,164,782",100%
112,Umma,"$2,121,025","$2,121,025",100%,-,-
113,The Contractor,"$2,052,308","$1,035,265",50.4%,"$1,017,043",49.6%
114,Odinnadtsat molchalivykh muzhchin,"$1,988,363",-,-,"$1,988,363",100%
115,The Beatles: Get Back,"$1,959,336",-,-,"$1,959,336",100%
116,Beast,"$1,922,951",-,-,"$1,922,951",100%
117,Wedding High,"$1,908,598",-,-,"$1,908,598",100%
118,Aslan: Hürkus kayip Elmas,"$1,883,289",-,-,"$1,883,289",100%
119,Love Mocktail 2,"$1,845,639",-,-,"$1,845,639",100%
120,2022 Oscar Nominated Short Films: Live Action/2022 Oscar Nominated Short Films: Animation/2022 Oscar Nominated Short Films: Documentary 2022 Oscar Nominated Short Films,"$1,801,646","$1,801,646",100%,-,-
121,Mission «Sky»,"$1,771,349",-,-,"$1,771,349",100%
122,Kappei,"$1,770,794",-,-,"$1,770,794",100%
123,Alors on danse,"$1,760,138",-,-,"$1,760,138",100%
124,The King's Daughter,"$1,758,963","$1,758,963",100%,-,-
125,Hridayam,"$1,740,483",-,-,"$1,740,483",100%
126,The Ancestral,"$1,739,866",-,-,"$1,739,866",100%
127,"Love, Sex & Pandemic","$1,712,634",-,-,"$1,712,634",100%
128,Kamen Rider OOO 10th: The Core Medals of Resurrection,"$1,675,005",-,-,"$1,675,005",100%
129,Aaraattu,"$1,648,155",-,-,"$1,648,155",100%
130,Confined,"$1,618,688",-,-,"$1,618,688",100%
131,Undercover,"$1,601,934",-,-,"$1,601,934",100%
132,Infinite Storm,"$1,600,543","$1,600,543",100%,-,-
133,Les Segpa,"$1,591,234",-,-,"$1,591,234",100%
134,Full Time,"$1,551,683",-,-,"$1,551,683",100%
135,For Ziko,"$1,535,466",-,-,"$1,535,466",100%
136,Gierek,"$1,531,831",-,-,"$1,531,831",100%
137,V lete ti poviem,"$1,481,790",-,-,"$1,481,790",100%
138,Love Is Better Than Life,"$1,410,719",-,-,"$1,410,719",100%
139,Free! The Final Stroke Part 2,"$1,399,857",-,-,"$1,399,857",100%
140,Heart to Heart,"$1,368,824",-,-,"$1,368,824",100%
141,The Desperate Hour,"$1,273,886",-,-,"$1,273,886",100%
142,Nhà Khong Bán,"$1,271,932",-,-,"$1,271,932",100%
143,Dilberay Küçük Dev Kadin,"$1,244,893",-,-,"$1,244,893",100%
144,Johnny's Jr. Our Survival Wars,"$1,211,524",-,-,"$1,211,524",100%
145,Too Old for Fairy Tales,"$1,201,326",-,-,"$1,201,326",100%
146,Official Competition,"$1,179,330",-,-,"$1,179,330",100%
147,Swingers,"$1,168,817",-,-,"$1,168,817",100%
148,Malnazidos,"$1,158,329",-,-,"$1,158,329",100%
149,A Radiant Girl,"$1,154,112",-,-,"$1,154,112",100%
150,Dolphin Boy,"$1,153,725",-,-,"$1,153,725",100%
151,Badhaai Do,"$1,138,046",-,-,"$1,138,046",100%
152,1990,"$1,106,702",-,-,"$1,106,702",100%
153,The Tiger Rising,"$1,065,283","$835,162",78.4%,"$230,121",21.6%
154,The Butcher's Daughter,"$1,064,717",-,-,"$1,064,717",100%
155,Moya uzhasnaya sestra,"$1,044,579",-,-,"$1,044,579",100%
156,Proyecto Emperador,"$1,034,439",-,-,"$1,034,439",100%
157,Veerame Vaagai Soodum,"$1,024,908",-,-,"$1,024,908",100%
158,The Midnight Maiden War,"$996,057",-,-,"$996,057",100%
159,Aaja Mexico Challiye,"$981,425",-,-,"$981,425",100%
160,Brother,"$975,977",-,-,"$975,977",100%
161,Zero Fucks Given,"$966,168",-,-,"$966,168",100%
162,Dancing the Twist in Bamako,"$956,475",-,-,"$956,475",100%
163,Leopoldstadt - Nt Live 2022 (Theatre),"$935,181",-,-,"$935,181",100%
164,En même temps,"$894,976",-,-,"$894,976",100%
165,Canallas,"$891,622",-,-,"$891,622",100%
166,Hello Jadoo: The Secret of Jeju Island,"$875,894",-,-,"$875,894",100%
167,JGA: Jasmin. Gina. Anna.,"$870,920",-,-,"$870,920",100%
168,Usogui,"$855,598",-,-,"$855,598",100%
