,user,Tweet,Time
34,Antin1710,"@Microsoft: #Russian #Cyber #Spying Targets 42 #Ukraine Allies    
#AtrocitiesOfKremlin #War #Russia #Kremlin #Putin #closethesky   
https://t.co/fMqB3FANsB",2022-06-23 09:25:47+00:00
35,10WallStreet,RT @10WallStreet: Its Obvious #Zelenskyy is Blowing Smoke Up Asses  at #NATO. Time To Consider What #Putin Win Means in #Ukraine. Partition…,2022-06-23 09:23:14+00:00
36,Antin1710,"@Microsoft: #Russian #Cyber #Spying Targets 42 #Ukraine Allies    
#AtrocitiesOfKremlin #War #Russia #Kremlin #Putin #closethesky    
https://t.co/fMqB3FANsB",2022-06-23 09:22:12+00:00
37,KIAAcademYsir,"💡DAY-117 ... Stop WAR  &amp;  Make PEACE ..🕊️

#UkraineRussiaWar #NATO #Ukraine #RussianUkrainianWar #RussiaUkraine   #WARINUKRAINE #putin #Zelenskyy #UkraineUnderAttack #mariupol #Russia #India #Ukraine #Bucha #BuchaMasacre #BuchaGenocide #indianstudentsinukraine https://t.co/Olh0NwkgSM",2022-06-23 09:19:50+00:00
38,RamitPMasti,The AP Interview: Estonian PM says don't play down Russia (from @AP) #Ukraine #Russia #Estonia #EU #Putin  https://t.co/Iu0l2gsoZj,2022-06-23 09:18:52+00:00
39,NewsPerpetual,"PPN World News - 21 June 2022 • Afghanistan earthquake • Miami plane crash • Russia vs Lithuania
https://t.co/u3aEUSWbW2
#Kaliningrad #Russia #Lithuania #Afghanistan #Uvalde #Erdogan #Ukraine #Putin #WarInUkraine #Zelenskyy #Lebanon #RedAir #PlaneCrash #aviation #UvaldeCoverUp",2022-06-23 09:17:55+00:00
40,AaUkraine,"#LiveTracking

Over #Russia

#Russia Air Force Ilyushin Il-62MK flying into #Moscow

#Russian Special Flight Squadron
- Tupolev Tu-214
- Dassault Falcon 7X
- Ilyushin Il-96-300PU used to transport #Putin / #Medvedev now off radar

#Ukraine #UkraineRussiaWar #NATO #AirForce #OSINT https://t.co/ZieBbVIrmR",2022-06-23 09:13:50+00:00
41,rgnaptr,"RT @HerryNapit: Dictator Putin’s Afghanistan: The Russian army seems trapped in Ukraine, sacrificing minorities👎

Read the thread,👇Hey worl…",2022-06-23 09:12:56+00:00
42,Kiaak80,"RT @HerryNapit: Russia's Black Sea blockade halts grain exports from Ukraine.

Lithuania Blockades Kaliningrad.

What's next, #Putin🐷?

Any…",2022-06-23 09:12:17+00:00
43,JerryStreitz,"RT @WarAgainstPutin: Russian orcs dismantled and stole the biggest solar power station in #Ukraine, Tokmak Solar Energy. This is what Russi…",2022-06-23 09:00:38+00:00
44,indian_ukraine,"RT @KIAAcademYsir: 💡DAY-116 ... Stop WAR  &amp;  Make PEACE ..🕊️

#UkraineRussiaWar #NATO #Ukraine #RussianUkrainianWar #RussiaUkraine   #WARIN…",2022-06-23 09:00:32+00:00
45,surser4855,"RT @SharleenLittle4: Putin deliberately provokes hunger in the world!
Moscow, by blocking Ukrainian ports, is striving for global destabili…",2022-06-23 08:59:24+00:00
46,GainMoneyFaster,"RT @GainMoneyFaster: SMART PASSIVE INCOME
Secret tip for money lovers

https://t.co/CLU7gXSmt1

#passive #income #money  #internet #euro #d…",2022-06-23 08:59:24+00:00
