,user,Tweet,Time
31,NoreenPower9,"#StandWithUkraine #ArmUkraineNow #Ukraine #UkraineWar #Putin 

Another reason NOT to forget.....Putin needs to see the World is sick, sick, sick of him 🤮🤮 https://t.co/NlUk4AwpyB",2022-06-23 11:04:12+00:00
32,anita_milewska,RT @bctallis: Really encouraging to see that #Germany's people support a tougher line on #Putin. Lets hope this empowers the Germany politi…,2022-06-23 11:03:36+00:00
33,RonRonkmfa,"#VolodymyrZelenskyy is leading the fight against #Putin from the heart of #Ukraine in #Kyiv. If #Zelenskyy perishes will the world, will the #USA be able to hold our heads high, stand tall and say, 'We did all we could to help Ukraine, we made a difference.'? #ProtectUkraineNow. https://t.co/ZXA0IMDXB0",2022-06-23 11:02:59+00:00
34,ParthSarthiEdu,"Modi JI's Genius Strategy for India Russia Trade | Geopolitics | Hindi | Parth Sarthi #shorts
.
https://t.co/5YnKQjfbgh
.
Watch Full Video on YouTube
.
#ParthSarthi #reels #Indian #Russia #Ukraine #news #ModimayGujarat #Putin #ViralVideo",2022-06-23 11:01:30+00:00
35,RonRonkmfa,"#VolodymyrZelenskyy is leading the fight against #Putin from the heart of #Ukraine in #Kyiv. If #Zelenskyy perishes will the world, will the #USA be able to hold our heads high, stand tall and say, 'We did all we could to help Ukraine, we made a difference.'? #ProtectUkraineNow. https://t.co/FcoO6IIEWa",2022-06-23 10:59:26+00:00
36,twolilsZ,"@DagnyTaggart369 @metatron_dk Russia's message to the 🇺🇸. 🤣🤣🤣🤣😍😍😍😍

#mariazakharova #Putin #IStandWithPutin #istandwithrussia #NaziUkraine #Russian #Russia #USA #EU #Azov #Ukraine #Europe #China #BRICS #Moscow https://t.co/3Bhhe1Ga6M",2022-06-23 10:59:11+00:00
37,bctallis,Really encouraging to see that #Germany's people support a tougher line on #Putin. Lets hope this empowers the Germany politicians that want to do better and to do more to help #Ukraine. https://t.co/yk2ovAHRLo,2022-06-23 10:59:09+00:00
38,SheritaJColon1,"https://t.co/JKSpiHbcLH
China and Xi Jinping are reason for alarm The birth of the secret report what does it signify that
#Ukraine #Putin",2022-06-23 10:58:47+00:00
39,RonRonkmfa,"Countries of the world unite against the aggression of #Putin! All countries that boarder #Ukraine are at risk, if they are attacked secondary and tertiary countries - you are also at risk. #NATO leaders &amp; world leaders stand together NOW and end this deliberate aggression. https://t.co/brkFFACi8Z",2022-06-23 10:57:21+00:00
40,Athena_Tiberia,"#Putin stages this war because he can't stand individual freedom. #Ukraine's desire for freedom is a threat for dictators, who don't want freedom, open society and individual pursuit of happiness to be successful. 
Thus he shall not succeed with that war! 
https://t.co/sqdKNNkPhs",2022-06-23 10:57:15+00:00
41,bashukhepburn,OMG!  Looks like a scene from #Ukraine!  #Afghanistan earthquake is over.  End #putin's war with quick #victory for #Ukraine. https://t.co/eG4KYix3QK,2022-06-23 10:57:04+00:00
42,PaoloBersani,"RT @PaoloBersani: @sputnikint
 32.000 russians dead in #Украина, only for the corrupt cancer sick boss #Putin. Day by day more Russian sold…",2022-06-23 10:57:02+00:00
43,PaoloBersani,"RT @PaoloBersani: @moscowtimes 32.000 russians dead in #Украина, only for the corrupt cancer sick boss #Putin. Day by day more Russian sold…",2022-06-23 10:56:59+00:00
44,PaoloBersani,"RT @PaoloBersani: @russiatodaynews 32.000 russians dead in #Украина, only for the corrupt cancer sick boss #Putin. Day by day more Russian…",2022-06-23 10:56:55+00:00
45,PaoloBersani,"RT @PaoloBersani: @rusembitaly @russiaun 32.000 russians dead in #Украина, only for the corrupt and raper #Putin. Day by day more Russian s…",2022-06-23 10:56:52+00:00
46,PaoloBersani,"RT @PaoloBersani: @vrsoloviev 32.000 russians dead in #Украина, only for the corrupt cancer sick boss #Putin. Day by day more Russian soldi…",2022-06-23 10:56:49+00:00
47,jasrand8,"@susilee_dean @YouTube #Putin has been placed on a pedestal made of nothing but fear &amp;ignorance once one of these fails him he will come down like a ton of bricks  cracks are starting to appear now that the soldiers families are wondering why there loved ones have not called for weeks #Russia 
#Ukraine",2022-06-23 10:56:47+00:00
48,teamequinox21,"If Putin causes a famine, kills tens of thousands of young men and robs many people of their homes, then it is clearly the work of Satan. Man has the task of making the world a kingdom of God and this is realized through charity (Rosenzweig)
#Putin #Ukraine https://t.co/G49itSNQdh",2022-06-23 10:54:33+00:00
49,bashukhepburn,"Some 90% of polled have unfavorable opinion of #RUSSIA &amp; #PUTIN.  #NATO, #EU, #G7 leaders need to listen &amp; ensure #victory in #Ukraine.  Read more here: 

https://t.co/nfJSH1LpIL",2022-06-23 10:54:30+00:00
50,jasrand8,@susilee_dean @YouTube In a weird twisted way I Think #Putin &amp; #Russian's think they are like the Aryans of the region and look down on citizens of #Ukraine #Belarus #Moldova #Poland #Germany  ect .. that's why a handful of whining Russian speaking people in any country can get you invaded by #Russia,2022-06-23 10:53:37+00:00
51,JimBrown777,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 10:51:13+00:00
52,HerryNapit,"Explosion at a gas station in #Talitsa🔥, Sverdlovsk region. Why so many explosion lately in Russia, Putin? Karma? Russian invasion of Ukraine? 🙄 #Putin #Russia #Russian #Rusia #Russie #Russo #Russland #Ukraine #Ukraina #Ucrania #Ucraina #Путін #Россия #Україна #روسيا #أوكرانيا https://t.co/FuLA4VI322",2022-06-23 10:50:40+00:00
53,AreHonks,"@ClariArbona @DanieleGanser the usa did many things realy bad.

but now in 2022 in #ukraine the biggest asshole of the world ist #Putin.

And nothing in the world is justifies the butcher from Moscow for his mass murder. Not even the chatter of #danieleganser or ClariCarbonara.",2022-06-23 10:50:30+00:00
54,LouisGerber8,"#USA - #Ukraine : @AdamKinzinger introduced a bill to train #Ukrainian #pilots on @NATO jets so they can transition to #F16 👍. 
That's the kind of answer from the #West #Putin needs to near -- not appeasement 😠l https://t.co/64kEzdq2I2",2022-06-23 10:49:25+00:00
55,apostelx,"@TheresaAFallon @GOP @AOC @TuckerCarlson @billmaher What you ignore: 

#Biden &amp; Mitch = American leading politicians are Chinese puppets 

#Putin knows it, thus he made deals with 🇨🇳

#Ukraine is a 🇨🇳 trap = everyone bleeds out except #China

Thus, the West can't go against 🇨🇳 right now.",2022-06-23 10:45:14+00:00
56,BobCoble5GC,"Winston Churchill was right. Russia is ""a riddle, wrapped in a mystery, inside an enigma."" The West and @NATO cannot let #Putin succeed in #Ukraine.  
https://t.co/qiNiJPexxc",2022-06-23 10:42:31+00:00
57,tv_ads,"RT @NewsPerpetual: PPN World News - 21 June 2022 • Afghanistan earthquake • Miami plane crash • Russia vs Lithuania
https://t.co/u3aEUSWbW2…",2022-06-23 10:42:01+00:00
58,schuetz31,"RT @WarAgainstPutin: Russian orcs dismantled and stole the biggest solar power station in #Ukraine, Tokmak Solar Energy. This is what Russi…",2022-06-23 10:39:51+00:00
59,xlenm,RT @RonanLTynan: No surprise at @ChathamHouse #London Conf @FT’s @gideonrachman could say #China’s top leaders not put off invading #Taiwan…,2022-06-23 10:36:57+00:00
60,bator2013,@zerohedge What about shutting #sanctions? This war of worlds is dragging us to hell! #Ukraine #Putin #Russia #Biden #NATO #Donbass #Zelensky,2022-06-23 10:36:57+00:00
61,vkorol_ua,"On June 17, @Bellingcat
reports #Putin plans to replace Col-
Gen Dvornikov as commander of the
#Ukraine invasion due to Dvornikov's
excessive use of alcohol and distrust
by the russian orcs. 
#StandWithUkraine #StopRussianAggression #StopRussia https://t.co/ymqnXotX3R https://t.co/RGEra0nY7l",2022-06-23 10:35:21+00:00
62,AarnaPrakash,"European leaders are set to formally recognize Ukraine as a candidate for EU membership amid Russia's invasion of Ukraine.

Read more: https://t.co/zrka4ZejNE

#EUMembership #Russia #Putin #Zelenskyy #Ukraine #RussiaUkraineWar https://t.co/Dy7GZOsRst",2022-06-23 10:35:14+00:00
63,EgleUrlike,RT @raging545: VIDEO of Ukrainian partisans destroying Russian military vehicles supposedly in the Russian occupied South of Ukraine.  #Ukr…,2022-06-23 10:34:42+00:00
64,istvan_ujhelyi,"...once its government has delivered on the priorities indicated by the @EU_Commission. 

So far it seems to me that #Putin's disgusting war on #Ukraine made the #European community stronger that ever.",2022-06-23 10:25:15+00:00
65,djazairian,"RT @SweWScommittee: Put occupiers and their supporters in front of the @IntlCrimCourt.
@Ayelet__Shaked
#Ukraine #Putin
#WesternSahara #Trum…",2022-06-23 10:23:53+00:00
66,GabrielPolzin2,"@JakobiKirstin Please can someone edit a meme with #Putin and #lukashenko for the movie 

Narodnaja Mountain 
A forbidden love in the depths of Ural

in style of Brokeback Mountain?

#StandWithUkraine️ #Ukraine #StopPutinNOW #FreeUkraine #Russia",2022-06-23 10:19:47+00:00
67,standtallnroar,BREAKING - Biden admits that energy prices would not have spiked this way if not for the West's oil embargo and sanctions against Russia. Says we’ll now have to live with it 😳 #USA #UK #EU #Britain #Ukraine #auspol #Putin #Biden #Europe #BreakingNews #News #EnergyCrisis,2022-06-23 10:18:14+00:00
68,_AhmedQuraishi,"#Indonesia's President @jokowi to visit #Ukraine, meet President @ZelenskyyUa. Will also meet #Putin in #Russia. Imp mediation effort to end Moscow's war+invasion. After #Turkey, Indonesia will be the second major member of @OIC_OCI to try ending war. #Israel mediated as well. https://t.co/Et7wLRteFp",2022-06-23 10:16:28+00:00
69,guerra_sahara,"RT @SweWScommittee: Put occupiers and their supporters in front of the @IntlCrimCourt.
@Ayelet__Shaked
#Ukraine #Putin
#WesternSahara #Trum…",2022-06-23 10:13:41+00:00
70,Ve10Ve_Ghost,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 10:12:25+00:00
71,apostelx,"@TheresaAFallon #China is using ancient #StrategyOfConcubines 

The emperor welcomes concubines [🇺🇲🇪🇺🇷🇺], then incites rivalerey, leans back &amp; shifts position as needed.

💵 for #Biden &amp; @GOP + 🇨🇳 deal with #Putin = make sure concubines fight = war in #Ukraine 

@AOC
@TuckerCarlson 
@billmaher",2022-06-23 10:10:40+00:00
72,gplaucio,RT @raging545: VIDEO of a squadron of Ukrainian T-72 tanks somewhere in the East of the country. #Russia #Putin #Ukraine #Putinswar #Ukrain…,2022-06-23 10:06:29+00:00
73,RonanLTynan,No surprise at @ChathamHouse #London Conf @FT’s @gideonrachman could say #China’s top leaders not put off invading #Taiwan? No accountability for #Putin’s horrific crimes in #Syria with #Assad virtually encouraged him to commit same in #Ukraine+still no warcrimes tribunal #Syria https://t.co/BHta00keKB,2022-06-23 10:05:56+00:00
74,21MQHardningBTC,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 10:02:22+00:00
75,_AlRasid1_,"RT @EagleSyrian1: As it happened in #Syria, with the beginning of #Putin invasion of #Ukraine, 100s new accounts in Arabic appeared on #Twi…",2022-06-23 10:00:28+00:00
76,YShuisang,"《International trail》My work can be forwarded.
#乌克兰 #乌克兰战争 #乌克兰局势 #乌克兰最新消息 #乌克兰动态清零 #俄罗斯 #普京
#ArmUkraineNow #UkraineUnderAttack  #Ukraine #StandWithUkraine #CCCP #Russia #Putin #Poland #Держись #Россия #Украина https://t.co/rDQmXJbzXW",2022-06-23 10:00:21+00:00
