,user,Tweet,Time
29,AarnaPrakash,2022-06-23 09:26:46+00:00,"Ukraine's president said today there is no shortage of words that Russia did the same on February 24 as the Nazis did on June 22

Read more: https://t.co/qN1gaAMQW3

#Russia #Putin #Zelenskyy #Ukraine #RussiaUkraineWar https://t.co/7xOcDXXNid"
30,Antin1710,2022-06-23 09:25:47+00:00,"@Microsoft: #Russian #Cyber #Spying Targets 42 #Ukraine Allies    
#AtrocitiesOfKremlin #War #Russia #Kremlin #Putin #closethesky   
https://t.co/fMqB3FANsB"
31,10WallStreet,2022-06-23 09:23:14+00:00,RT @10WallStreet: Its Obvious #Zelenskyy is Blowing Smoke Up Asses  at #NATO. Time To Consider What #Putin Win Means in #Ukraine. Partition…
32,Antin1710,2022-06-23 09:22:12+00:00,"@Microsoft: #Russian #Cyber #Spying Targets 42 #Ukraine Allies    
#AtrocitiesOfKremlin #War #Russia #Kremlin #Putin #closethesky    
https://t.co/fMqB3FANsB"
33,KIAAcademYsir,2022-06-23 09:19:50+00:00,"💡DAY-117 ... Stop WAR  &amp;  Make PEACE ..🕊️

#UkraineRussiaWar #NATO #Ukraine #RussianUkrainianWar #RussiaUkraine   #WARINUKRAINE #putin #Zelenskyy #UkraineUnderAttack #mariupol #Russia #India #Ukraine #Bucha #BuchaMasacre #BuchaGenocide #indianstudentsinukraine https://t.co/Olh0NwkgSM"
34,RamitPMasti,2022-06-23 09:18:52+00:00,The AP Interview: Estonian PM says don't play down Russia (from @AP) #Ukraine #Russia #Estonia #EU #Putin  https://t.co/Iu0l2gsoZj
35,NewsPerpetual,2022-06-23 09:17:55+00:00,"PPN World News - 21 June 2022 • Afghanistan earthquake • Miami plane crash • Russia vs Lithuania
https://t.co/u3aEUSWbW2
#Kaliningrad #Russia #Lithuania #Afghanistan #Uvalde #Erdogan #Ukraine #Putin #WarInUkraine #Zelenskyy #Lebanon #RedAir #PlaneCrash #aviation #UvaldeCoverUp"
36,AaUkraine,2022-06-23 09:13:50+00:00,"#LiveTracking

Over #Russia

#Russia Air Force Ilyushin Il-62MK flying into #Moscow

#Russian Special Flight Squadron
- Tupolev Tu-214
- Dassault Falcon 7X
- Ilyushin Il-96-300PU used to transport #Putin / #Medvedev now off radar

#Ukraine #UkraineRussiaWar #NATO #AirForce #OSINT https://t.co/ZieBbVIrmR"
37,rgnaptr,2022-06-23 09:12:56+00:00,"RT @HerryNapit: Dictator Putin’s Afghanistan: The Russian army seems trapped in Ukraine, sacrificing minorities👎

Read the thread,👇Hey worl…"
38,Kiaak80,2022-06-23 09:12:17+00:00,"RT @HerryNapit: Russia's Black Sea blockade halts grain exports from Ukraine.

Lithuania Blockades Kaliningrad.

What's next, #Putin🐷?

Any…"
39,JerryStreitz,2022-06-23 09:00:38+00:00,"RT @WarAgainstPutin: Russian orcs dismantled and stole the biggest solar power station in #Ukraine, Tokmak Solar Energy. This is what Russi…"
40,indian_ukraine,2022-06-23 09:00:32+00:00,"RT @KIAAcademYsir: 💡DAY-116 ... Stop WAR  &amp;  Make PEACE ..🕊️

#UkraineRussiaWar #NATO #Ukraine #RussianUkrainianWar #RussiaUkraine   #WARIN…"
41,surser4855,2022-06-23 08:59:24+00:00,"RT @SharleenLittle4: Putin deliberately provokes hunger in the world!
Moscow, by blocking Ukrainian ports, is striving for global destabili…"
42,GainMoneyFaster,2022-06-23 08:59:24+00:00,"RT @GainMoneyFaster: SMART PASSIVE INCOME
Secret tip for money lovers

https://t.co/CLU7gXSmt1

#passive #income #money  #internet #euro #d…"
43,PamelaWarnstadt,2022-06-23 08:58:49+00:00,"RT @PamelaWarnstadt: SMART PASSIVE EARNINGS

https://t.co/Kuctf3zAir

#passive #income #money #earn #internet #euro #dollar #stock #exchang…"
44,_Thirunarayan1,2022-06-23 08:58:22+00:00,"Social stress prematurely ages your immune system, study finds https://t.co/mHwqz40eTE
#Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden"
45,_Thirunarayan1,2022-06-23 08:58:21+00:00,"Ohio State University wins trademark for the word 'THE' https://t.co/h838KnpcCe
#Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden"
46,GlobalObserve10,2022-06-23 08:56:37+00:00,"2️⃣ #Putin May #Win in #Ukraine, But the Real War Is Just Starting, Bloomberg, 19 June 2022"
47,jd_19573011,2022-06-23 08:55:49+00:00,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…
48,tameryazar,2022-06-23 08:53:04+00:00,"In the darkness of war they are also there...
-
A #Ukrainian service member with a dog observes in the industrial area of the city of #Sievierodonetsk, as #Russia's attack on #Ukraine continues. #Kyiv #Russia #Moscow #Zelensky #Putin @peta @MercyForAnimals https://t.co/X9MMAM5mpM"
49,KIAAcademYsir,2022-06-23 08:52:37+00:00,"💡DAY-116 ... Stop WAR  &amp;  Make PEACE ..🕊️

#UkraineRussiaWar #NATO #Ukraine #RussianUkrainianWar #RussiaUkraine   #WARINUKRAINE #putin #Zelenskyy #UkraineUnderAttack #mariupol #Russia #India #Ukraine #Bucha #BuchaMasacre #BuchaGenocide #indianstudentsinukraine https://t.co/vHQrngIdXk"
50,onesimohere,2022-06-23 08:52:33+00:00,"Of course, we should not expect justice or compassion from #Putin ""Aiden Aslin: #Ukraine Briton told execution will go ahead @BBCNews - https://t.co/8cPR5IH94j"
51,tameryazar,2022-06-23 08:50:37+00:00,"Local residents wait to receive humanitarian aid in front of a residential building that was damaged during the Russian attack, in #Borodyanka, #Kyiv region, #Ukraine ! #Russia #Moscow #Zelensky #Putin https://t.co/X8OU9olxUz"
52,caliophe20,2022-06-23 08:50:23+00:00,"RT @anews: Parents in #Mariupol, #Ukraine are struggling to find the words to explain to their children why Ukraine is being attacked. 

#c…"
53,TonyKen69354734,2022-06-23 08:48:39+00:00,"To every fool that thinks our Political Class suddenly reacted to #Putin's ""unprecedented aggression"", think again.

Adam #Schiff justified impeachment because #Trump was an obstacle to our proxy war w/ #Russia. The ""bad phone call"" served as a cover.

#Ukraine #Russians #war https://t.co/VHqBN8JC8g"
54,TheAccountantUK,2022-06-23 08:44:35+00:00,RT @UxbEconomist07: Quick reminder of US #Inflation path approaching #Ukraine War. Some r asking why Joe #Biden is a able to blame #Putin &amp;…
55,Lx121,2022-06-23 08:42:05+00:00,"@b_chshevik @EyyRadioFree @gobloid3 3 things: 1.on the same index RUSSIA IS WORSE. 2. #ukraine is improving, LONGTERM trend. 3. in #PUTIN's #russia such #independent #international #ngo organisations &amp; #reporting ARE NOT ALLOWED TO EXIST. #especially during the #UkraineWar :P"
56,INSTINC26289171,2022-06-23 08:40:00+00:00,"RT @HerryNapit: Dictator Putin’s Afghanistan: The Russian army seems trapped in Ukraine, sacrificing minorities👎

Read the thread,👇Hey worl…"
57,RiteBoss,2022-06-23 08:39:59+00:00,"RT @HerryNapit: Dictator Putin’s Afghanistan: The Russian army seems trapped in Ukraine, sacrificing minorities👎

Read the thread,👇Hey worl…"
58,valik_lok79,2022-06-23 08:39:58+00:00,"RT @SharleenLittle4: Putin deliberately provokes hunger in the world!
Moscow, by blocking Ukrainian ports, is striving for global destabili…"
59,SmartB0ss,2022-06-23 08:39:54+00:00,"RT @HerryNapit: Dictator Putin’s Afghanistan: The Russian army seems trapped in Ukraine, sacrificing minorities👎

Read the thread,👇Hey worl…"
60,CLEANBOSS2,2022-06-23 08:39:49+00:00,"RT @HerryNapit: Dictator Putin’s Afghanistan: The Russian army seems trapped in Ukraine, sacrificing minorities👎

Read the thread,👇Hey worl…"
61,AshRite2,2022-06-23 08:39:42+00:00,"RT @HerryNapit: Dictator Putin’s Afghanistan: The Russian army seems trapped in Ukraine, sacrificing minorities👎

Read the thread,👇Hey worl…"
62,INSTINC26289171,2022-06-23 08:39:32+00:00,RT @HerryNapit: Mariupol: Russia could use the mobile crematorium in its war against Ukraine to hide the actual number of victims.😱 #Russia…
63,PhilipCMead,2022-06-23 08:39:12+00:00,"RT @PhilipCMead: #Putin’s #Ukraine invasion is the world’s first full-scale cyberwar
https://t.co/r2z0fUy4h0
The war shows how #Russia's mi…"
64,RiteBoss,2022-06-23 08:37:43+00:00,RT @HerryNapit: Mariupol: Russia could use the mobile crematorium in its war against Ukraine to hide the actual number of victims.😱 #Russia…
65,SmartB0ss,2022-06-23 08:37:38+00:00,RT @HerryNapit: Mariupol: Russia could use the mobile crematorium in its war against Ukraine to hide the actual number of victims.😱 #Russia…
66,CLEANBOSS2,2022-06-23 08:37:34+00:00,RT @HerryNapit: Mariupol: Russia could use the mobile crematorium in its war against Ukraine to hide the actual number of victims.😱 #Russia…
67,AshRite2,2022-06-23 08:37:29+00:00,RT @HerryNapit: Mariupol: Russia could use the mobile crematorium in its war against Ukraine to hide the actual number of victims.😱 #Russia…
68,ls_luiss,2022-06-23 08:31:45+00:00,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…
69,CLJ40,2022-06-23 08:31:11+00:00,"RT @WarAgainstPutin: Russian orcs dismantled and stole the biggest solar power station in #Ukraine, Tokmak Solar Energy. This is what Russi…"
70,_Thirunarayan1,2022-06-23 08:28:21+00:00,"Uvalde school police chief is suspended after weeks of brewing anger over botched response https://t.co/bA1EKkyIdm
#Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden"
71,_Thirunarayan1,2022-06-23 08:28:21+00:00,"The world's most liveable cities for 2022 https://t.co/cJ6BjOpkm5
#Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden"
72,ProfessorP5,2022-06-23 08:28:15+00:00,"However, if #Putin's #War in #Ukraine isn't enough to unite #Romania and #Moldova, how can I expect it to unify the #West.

#MaiReferendum https://t.co/J68LBiWNRv"
73,Lx121,2022-06-23 08:27:05+00:00,"@b_chshevik @EyyRadioFree @gobloid3 #bullshit, #putin INVADED #ukraine to ""restore"" it to the ""greater russian empire"". putin has now SAID SO, #himself. did you miss his ""peter the great"" #crap? your ""peace"" is the same #APPEASEMENT hilter got out of czechoslovakia in 1938. the only ""peace"" putin wants is VICTORY."
