Unnamed: 0,user,Tweet,Time
0,kiraincongress,"We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukraine, to make #putin pay for his actions.

https://t.co/3MDOMnKrFj
@tvn24",2022-06-23 08:15:00+00:00
1,Judgenap,"Putin did NOT start the Ukraine War
Col Doug Macgregor 
#Putin #Ukraine #Biden
see full vid:
https://t.co/1ltmeM4FZk https://t.co/7NbcT50dpo",2022-06-21 19:42:58+00:00
2,kiraincongress,The #USA is ready to hand #Ukraine all the weapons it needs to succeed - @DeptofDefense. Looking forward to having the armaments in the capable hands of our armed forces and speeding up the victory over #putin! https://t.co/lsovrfwuk8,2022-06-14 06:15:00+00:00
3,WriterJackWhite,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 09:51:30+00:00
4,annie5133,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 09:43:47+00:00
5,AWhitta46916467,"RT @WarAgainstPutin: Russian orcs dismantled and stole the biggest solar power station in #Ukraine, Tokmak Solar Energy. This is what Russi…",2022-06-23 09:43:26+00:00
6,gplaucio,RT @WarAgainstPutin: Evil #Russia keeps destroying civilian infrastructure of #Ukraine. #Putin is new #Hitler. #ArmUkraineNow https://t.co/…,2022-06-23 09:43:17+00:00
7,gplaucio,RT @raging545: VIDEO of a Ukrainian soldier with a Stinger MANPADs shooting down a Russian Orlan-10 military drone in Eastern #Ukraine.   #…,2022-06-23 09:43:02+00:00
8,gplaucio,RT @Ewe_Paz_HeT: Russia will be as obliterated as it provokes. It must understand it now. Russia is nothing without West. As it was nothing…,2022-06-23 09:42:23+00:00
9,gplaucio,RT @raging545: IMAGE of Russian soldiers captured by Belarusian volunteers of the Ukraine Foreign Legion near Mykolaiv #Ukraine  #Russia #P…,2022-06-23 09:41:40+00:00
10,gplaucio,"RT @Ewe_Paz_HeT: Today, months pass &amp; we realize that Russia is nothing. Neither a military partner of course, nor a civil partner since it…",2022-06-23 09:41:28+00:00
11,indian_ukraine,"RT @KIAAcademYsir: 💡DAY-117 ... Stop WAR  &amp;  Make PEACE ..🕊️

#UkraineRussiaWar #NATO #Ukraine #RussianUkrainianWar #RussiaUkraine   #WARIN…",2022-06-23 09:40:33+00:00
12,BlackCo16122436,"@BBCWorld .@BBCWorld Brutus Macron wants Putin to 'save face'. 
I invite you to my blog!
https://t.co/ZY8ITSrkZX
#world #politics #people #Ukraine #Russia #Putin #USA #Macron #Russian #UkraineRussiaWar #UkraineWar #Mariupol #France #Miller #Kiev",2022-06-23 09:35:37+00:00
13,BlackCo16122436,"@BBCWorld .@BBCWorld Will #Berlusconi give Sicily or Sardinia to #Putin? I invite to my blog!
https://t.co/5h3eX5QspF
#politics #people #Ukraine #Russia #USA #Macron #Russian #UkraineRussiaWar #UkraineWar #Mariupol #France #Poland #Zelenskyy #Italy",2022-06-23 09:35:23+00:00
14,LinguaMaxillam,"@campbellclaret #BorisJohnson is only the worst if your friends are Epstein, Putin and MBS, Assad.  Only the worst if you prefer murderous dicatorships who currently are clusterbombing children on beaches in #Ukraine.  Only the worst if you think #Putin should win #WWIII.  @UKLabour murderers!!",2022-06-23 09:33:58+00:00
15,pietakmp,RT @carolmswain: #Putin invaded #Ukraine that’s President Biden’s excuse for having wrecked the nation’s economy and it standing in the wor…,2022-06-23 09:33:56+00:00
16,gplaucio,RT @raging545: VIDEO from Severodonestk of Russian soldiers captured  after surrendering. There are some claims by captured Russian soldier…,2022-06-23 09:32:32+00:00
17,AjBaalman,"RT @Ewe_Paz_HeT: Criminals are always cynical, mocking, smiling and satisfied with their misdeeds. The day they hang on a rope, their pride…",2022-06-23 09:31:20+00:00
18,gplaucio,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 09:30:57+00:00
19,gplaucio,"RT @Ewe_Paz_HeT: Criminals are always cynical, mocking, smiling and satisfied with their misdeeds. The day they hang on a rope, their pride…",2022-06-23 09:30:47+00:00
20,ActionTime,RT @ActionTime: #RussianLosses Are HUGE: #Russian momentum in #Ukraine Could SLOW as #Russia Exhausts Resources #StopPutinNow #PutinsWarCri…,2022-06-23 09:30:36+00:00
21,billybirdau,@smudge_green It was #Putin who caused this....if he hadn't invaded #Ukraine this definitely wouldn't have happened....,2022-06-23 09:30:21+00:00
22,gplaucio,RT @ActionTime: #RussianLosses Are HUGE: #Russian momentum in #Ukraine Could SLOW as #Russia Exhausts Resources #StopPutinNow #PutinsWarCri…,2022-06-23 09:29:57+00:00
23,Ewe_Paz_HeT,"Criminals are always cynical, mocking, smiling and satisfied with their misdeeds. The day they hang on a rope, their pride disappears. Just before, during and after. Definitively. The rope is ready and even adapted to the size of a dwarf.
#Ukraine #UkraineWar #Putin",2022-06-23 09:29:22+00:00
24,_Thirunarayan1,"What to watch for in today's Jan. 6 panel hearing https://t.co/RPMKgcbYYM
#Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-23 09:28:23+00:00
25,_Thirunarayan1,"Ohio State University wins trademark for the word 'THE' https://t.co/h838KnoEMG
#Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-23 09:28:23+00:00
26,_Thirunarayan1,"New coronavirus subvariants escape antibodies from vaccination and prior Omicron infection, studies suggest https://t.co/o2r2GUqUNI
#Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-23 09:28:23+00:00
27,EDITORatWORK,"#Russian #sanctions Links to RUSSIAN SANCTIONS #Putin #Russia #Ukraine #war #Russian_debt #do_sanctions_work #automakers_hit #Lithuania_natural_gas
https://t.co/QZoDF5W4Fo
https://t.co/NvBETg89nL",2022-06-23 09:28:05+00:00
28,RamitPMasti,Gas prices sting US workers who depend on their cars (from @AP) #Gasprices #Russia #Ukraine #Putin #inflation  https://t.co/uzwZqJx2C1,2022-06-23 09:27:16+00:00
29,AarnaPrakash,"Ukraine's president said today there is no shortage of words that Russia did the same on February 24 as the Nazis did on June 22

Read more: https://t.co/qN1gaAMQW3

#Russia #Putin #Zelenskyy #Ukraine #RussiaUkraineWar https://t.co/7xOcDXXNid",2022-06-23 09:26:46+00:00
30,Antin1710,"@Microsoft: #Russian #Cyber #Spying Targets 42 #Ukraine Allies    
#AtrocitiesOfKremlin #War #Russia #Kremlin #Putin #closethesky   
https://t.co/fMqB3FANsB",2022-06-23 09:25:47+00:00
31,10WallStreet,RT @10WallStreet: Its Obvious #Zelenskyy is Blowing Smoke Up Asses  at #NATO. Time To Consider What #Putin Win Means in #Ukraine. Partition…,2022-06-23 09:23:14+00:00
32,Antin1710,"@Microsoft: #Russian #Cyber #Spying Targets 42 #Ukraine Allies    
#AtrocitiesOfKremlin #War #Russia #Kremlin #Putin #closethesky    
https://t.co/fMqB3FANsB",2022-06-23 09:22:12+00:00
33,KIAAcademYsir,"💡DAY-117 ... Stop WAR  &amp;  Make PEACE ..🕊️

#UkraineRussiaWar #NATO #Ukraine #RussianUkrainianWar #RussiaUkraine   #WARINUKRAINE #putin #Zelenskyy #UkraineUnderAttack #mariupol #Russia #India #Ukraine #Bucha #BuchaMasacre #BuchaGenocide #indianstudentsinukraine https://t.co/Olh0NwkgSM",2022-06-23 09:19:50+00:00
34,RamitPMasti,The AP Interview: Estonian PM says don't play down Russia (from @AP) #Ukraine #Russia #Estonia #EU #Putin  https://t.co/Iu0l2gsoZj,2022-06-23 09:18:52+00:00
